Designator,Mid X,Mid Y,Rotation,Layer
R75,150.0,-96.25,-90.0,top
R76,134.45,-143.85,0.0,top
R77,107.625,-51.95,0.0,top
R78,110.775,-51.95,0.0,top
R79,87.025,-51.9,180.0,top
R8,97.05,-113.375,180.0,top
R80,83.875,-51.9,180.0,top
R81,134.05,-107.75,-90.0,top
R82,151.45,-137.15,90.0,top
R83,133.9,-102.75,-90.0,top
R84,149.1,-108.45,180.0,top
R86,149.1,-106.75,0.0,top
R87,149.0,-110.45,0.0,top
R88,149.125,-102.3875,180.0,top
R9,153.775,-115.5,180.0,top
R91,149.125,-100.6375,0.0,top
R92,149.125,-104.3875,0.0,top
R95,150.3,-79.725,-90.0,top
R96,150.3,-82.825,-90.0,top
R97,122.75,-143.6,180.0,top
R98,121.9,-135.49,-90.0,top
Rsense1,84.2,-136.3,0.0,top
Rsense10,76.65,-113.5,90.0,top
Rsense11,110.4,-113.05,90.0,top
Rsense12,114.45,-113.05,-90.0,top
Rsense2,87.7125,-132.25,0.0,top
Rsense3,103.9,-130.25,0.0,top
Rsense4,103.9,-134.45,180.0,top
Rsense5,98.8,-95.95,180.0,top
Rsense6,98.8,-91.65,0.0,top
Rsense7,83.25,-96.0,180.0,top
Rsense8,83.25,-91.75,0.0,top
Rsense9,72.0,-113.5,-90.0,top
U1,141.75,-136.0,90.0,top
U10,83.25,-103.0,0.0,top
U11,83.25,-112.25,90.0,top
U12,103.8,-114.215,-90.0,top
U14,143.0,-96.25,180.0,top
U15,143.0,-90.5,180.0,top
U16,141.0,-108.25,0.0,top
U18,140.925,-102.25,0.0,top
U2,150.25,-124.0,90.0,top
U3,129.8925,-130.16,0.0,top
U4,145.25,-62.65,0.0,top
U5,145.975,-80.0,90.0,top
U6,115.23,-138.14,0.0,top
U7,83.35,-123.5,180.0,top
U8,103.75,-123.5,180.0,top
U9,103.75,-103.0,0.0,top
Y1,120.9325,-119.74,0.0,top
Y2,118.58,-127.81,0.0,top
